label,text
spam,"URGENT: Your bank account has been suspended. Verify immediately."
spam,"Security alert: Unauthorized login attempt detected."
spam,"Your PayPal account requires verification now."
spam,"Your account will be locked if you do not confirm identity."
spam,"Immediate action required to secure your account."
spam,"Suspicious transaction detected. Verify your bank account."
spam,"Your debit card has been temporarily blocked."
spam,"Confirm your OTP to avoid account suspension."
spam,"Your banking access has expired. Login again."
spam,"Final warning: Verify your account immediately."
spam,"You have won a FREE shopping voucher!"
spam,"Claim your reward before it expires."
spam,"Limited-time crypto investment opportunity."
spam,"Get rich quickly with guaranteed returns."
spam,"Exclusive reward waiting. Click to claim now."
spam,"Your account has unusual activity. Verify now."
spam,"Payment failed. Update billing information immediately."
spam,"Click here to avoid permanent account closure."
spam,"Lottery winner selected! Claim prize now."
spam,"Your tax refund is pending confirmation."
ham,"Hey bro are we still meeting tomorrow evening?"
ham,"Can you send me the assignment PDF?"
ham,"Mom said dinner will be ready by 8."
ham,"Let's play football this weekend."
ham,"I'm outside your house, come down."
ham,"Did you complete the lab record?"
ham,"The meeting has been shifted to Monday."
ham,"Happy birthday! Hope you have a great day."
ham,"Can you call me when you're free?"
ham,"Your Amazon package has been delivered."
ham,"I'll send the notes tonight."
ham,"Where are you right now?"
ham,"Let's grab coffee tomorrow."
ham,"The class starts at 10 AM."
ham,"Don't forget to bring your charger."
ham,"I'm reaching in 15 minutes."
ham,"Please share the Zoom link."
ham,"We should revise before the exam."
ham,"Call me after dinner."
ham,"The movie was actually really good."
