label,text
spam,"URGENT: Your bank account has been suspended. Verify immediately."
spam,"Security alert: Unauthorized login attempt detected."
spam,"Your PayPal account requires verification now."
spam,"Your account will be locked if you do not confirm identity."
spam,"Immediate action required to secure your account."
spam,"Suspicious transaction detected. Verify your bank account."
spam,"Your debit card has been temporarily blocked."
spam,"Confirm your OTP to avoid account suspension."
spam,"Your banking access has expired. Login again."
spam,"Final warning: Verify your account immediately."
spam,"You have won a FREE shopping voucher!"
spam,"Claim your reward before it expires."
spam,"Limited-time crypto investment opportunity."
spam,"Get rich quickly with guaranteed returns."
spam,"Exclusive reward waiting. Click to claim now."
spam,"Your account has unusual activity. Verify now."
spam,"Payment failed. Update billing information immediately."
spam,"Click here to avoid permanent account closure."
spam,"Lottery winner selected! Claim prize now."
spam,"Your tax refund is pending confirmation."
